Company Name,Current Year,Years_to_Bankrupt,Bankruptcy,"Total Revenue [CY 2005] ($USDmm, Historical rate)","Gross Profit [CY 2005] ($USDmm, Historical rate)","Net Income [CY 2005] ($USDmm, Historical rate)",EBITDA,"Total Current Assets [CY 2005] ($USDmm, Historical rate)","Total Assets [CY 2005] ($USDmm, Historical rate)","Total Current Liabilities [CY 2005] ($USDmm, Historical rate)","Cash from Ops. [CY 2005] ($USDmm, Historical rate)",Net_Debt_EBITDA,Profit_Margin,Net Debt,Net Workng Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,"Market Capitalization [My Setting] [1/31/2005] ($USDmm, Historical rate)","Market Capitalization [My Setting] [01/31/2006] ($USDmm, Historical rate)"
Sport Chalet Inc.,2005,16.0,0.0,332.4,103.4,-1.0,11.6,102.0,150.3,59.1,9.8,0.0,0.0,0.0,42.9,1.7,0.0,88.6,102.6
The L.S. Starrett Company (NYSE:SCX),2005,16.0,0.0,199.0,47.8,-1.8,5.6,129.2,221.7,25.0,-1.8,0.0,0.0,0.0,104.2,5.2,0.0,136.4,102.7
"Mercer Insurance Group, Inc.",2005,16.0,0.0,81.3,21.0,7.0,12.2,165.9,446.7,114.3,13.4,0.0,0.1,0.0,51.6,1.5,0.0,81.0,103.9
"Teledyne Bolt, Inc.",2005,16.0,0.0,25.1,10.2,3.1,4.9,15.8,28.8,3.4,3.0,0.0,0.1,0.0,12.4,4.7,0.0,33.4,104.0
Craftmade International Inc.,2005,16.0,0.0,121.1,35.4,6.6,15.1,43.0,63.1,17.9,5.3,1.0,0.1,15.1,25.1,2.4,2.8,108.4,104.0
"Premier Exhibitions, Inc. (OTCPK:PRXI.Q)",2005,16.0,0.0,10.7,6.4,0.1,1.2,11.1,22.0,5.2,1.1,0.0,0.0,0.0,5.9,2.1,0.0,22.7,104.2
Alcanna Inc. (TSX:CLIQ),2005,16.0,0.0,135.1,11.1,5.2,11.0,33.3,120.8,17.5,3.9,1.9,0.0,21.2,15.8,1.9,5.4,,105.2
"Anika Therapeutics, Inc. (NasdaqGS:ANIK)",2005,16.0,0.0,29.8,18.7,5.9,9.0,52.4,62.6,5.8,6.5,0.0,0.2,0.0,46.6,9.0,0.0,90.5,105.7
Trimac Transportation Ltd.,2005,16.0,0.0,269.1,71.7,13.2,35.2,47.2,130.5,30.2,32.1,1.2,0.0,42.2,17.0,1.6,1.3,,105.7
"Thomas Group, Inc.",2005,16.0,0.0,43.1,22.4,6.7,8.6,12.5,13.0,4.3,6.3,0.0,0.2,0.0,8.2,2.9,0.0,13.6,106.0
Performance Technologies Inc.,2005,16.0,0.0,49.6,24.4,3.1,4.3,53.4,62.9,6.5,9.1,0.0,0.1,0.0,46.9,8.2,0.0,117.3,106.7
Trailer Bridge Inc.,2005,6.0,1.0,105.9,30.4,7.8,23.2,28.3,119.2,12.8,13.6,4.2,0.1,96.3,15.5,2.2,7.1,114.1,107.0
Trailer Bridge Inc.,2005,6.0,1.0,105.9,30.4,7.8,23.2,28.3,119.2,12.8,13.6,4.2,0.1,96.3,15.5,2.2,7.1,114.1,107.0
"Nobility Homes, Inc. (OTCPK:NOBH)",2005,16.0,0.0,59.0,17.4,6.6,9.2,25.7,45.3,7.9,4.0,0.0,0.1,0.0,17.8,3.2,0.0,95.7,107.6
Surge Energy Inc. (TSX:SGY),2005,16.0,0.0,42.0,27.7,8.5,24.6,9.6,84.9,35.8,24.2,0.8,0.2,20.0,-26.2,0.3,0.8,103.7,107.6
Taleo Corp.,2005,16.0,0.0,78.4,50.9,-2.5,5.8,83.4,99.0,24.9,-0.9,0.0,0.0,0.0,58.5,3.3,0.0,,107.7
Williams Controls Inc.,2005,16.0,0.0,68.4,23.2,7.3,13.8,18.6,30.4,16.5,10.2,0.8,0.1,11.2,2.1,1.1,1.1,50.8,108.0
Vero Energy Inc.,2005,16.0,0.0,10.7,9.1,2.3,7.2,16.0,45.6,8.8,-7.4,0.0,0.2,0.0,7.2,1.8,0.0,,108.1
Ridley Inc.,2005,16.0,0.0,489.6,90.1,14.0,29.3,87.1,239.6,61.2,34.1,0.5,0.0,14.0,25.9,1.4,0.4,106.5,108.4
Gamehost Inc. (TSX:GH),2005,16.0,0.0,26.7,18.6,13.2,14.2,8.6,79.3,19.3,12.5,0.3,0.5,4.8,-10.7,0.4,0.4,63.1,108.5
Metropolitan Health Networks Inc.,2005,16.0,0.0,183.8,18.6,2.4,3.6,24.5,33.1,3.4,2.6,0.0,0.0,0.0,21.1,7.2,0.0,142.9,108.5
Koss Corporation (NasdaqCM:KOSS),2005,16.0,0.0,48.5,18.4,5.9,10.3,27.2,33.0,8.6,5.0,0.0,0.1,0.0,18.6,3.2,0.0,68.4,108.9
VSE Corporation (NasdaqGS:VSEC),2005,16.0,0.0,280.1,10.4,6.2,11.2,64.2,73.9,42.1,15.6,0.0,0.0,0.0,22.1,1.5,0.0,52.6,109.0
Peerless Systems Corp.,2005,16.0,0.0,36.2,19.1,4.3,5.7,18.9,20.0,7.8,6.1,0.0,0.1,0.0,11.1,2.4,0.0,21.1,109.1
"Interactive Intelligence Group, Inc.",2005,16.0,0.0,62.9,47.4,2.1,4.5,33.8,38.4,30.6,5.0,0.0,0.0,0.0,3.2,1.1,0.0,69.8,109.6
"Hercules Capital, Inc. (NYSE:HTGC)",2005,16.0,0.0,10.7,10.7,2.1,4.5,16.8,193.6,79.3,-156.2,13.6,0.2,60.5,-62.5,0.2,-0.4,,109.8
Brampton Brick Limited (TSX:BBL.A),2005,16.0,0.0,96.1,27.6,4.9,27.7,40.4,151.0,17.7,21.6,0.0,0.1,0.0,22.7,2.3,0.0,122.1,110.0
Orvana Minerals Corp. (TSX:ORV),2005,16.0,0.0,31.6,23.3,9.7,18.7,14.2,37.5,3.4,18.4,0.0,0.3,0.0,10.8,4.2,0.0,96.7,110.3
IROC Energy Services Corp.,2005,16.0,0.0,25.2,9.2,1.9,5.2,14.4,56.4,12.9,-1.6,3.1,0.1,15.8,1.5,1.1,-10.0,32.2,110.5
WCA Waste Corporation,2005,16.0,0.0,114.1,40.2,3.5,31.9,22.6,291.5,16.0,19.6,5.5,0.0,175.8,6.6,1.4,9.0,143.3,111.4
"Kirkland's, Inc. (NasdaqGS:KIRK)",2005,16.0,0.0,415.1,125.5,0.2,16.2,72.8,146.6,48.3,20.2,0.0,0.0,0.0,24.5,1.5,0.0,200.1,111.6
Sun-Rype Products Ltd.,2005,16.0,0.0,107.6,37.9,5.6,12.0,39.4,58.6,15.0,12.3,0.0,0.1,0.0,24.4,2.6,0.0,95.3,111.7
Enventis Corporation,2005,16.0,0.0,77.9,46.5,8.5,33.9,32.0,223.3,24.0,33.4,4.2,0.1,142.7,8.0,1.3,4.3,142.7,112.0
"Rocky Brands, Inc. (NasdaqGS:RCKY)",2005,16.0,0.0,296.0,111.2,13.0,33.0,144.2,236.1,24.9,8.5,3.2,0.0,104.0,119.3,5.8,12.3,133.5,112.3
"Westwood Holdings Group, Inc. (NYSE:WHG)",2005,16.0,0.0,21.9,10.4,3.6,6.3,23.2,27.3,4.9,6.3,0.0,0.2,0.0,18.3,4.7,0.0,109.4,112.5
"Innovaro, Inc. (OTCPK:INNI)",2005,16.0,0.0,22.7,18.1,2.1,9.6,6.5,49.0,0.4,-10.6,0.0,0.1,0.0,6.1,17.6,0.0,88.6,112.6
The Monarch Cement Company (OTCPK:MCEM),2005,16.0,0.0,141.3,26.2,9.7,24.7,39.5,144.1,17.4,20.8,0.7,0.1,17.7,22.1,2.3,0.9,89.6,112.8
"Adams Resources & Energy, Inc. (AMEX:AE)",2005,16.0,0.0,2364.8,42.0,17.6,32.7,270.5,312.7,231.1,19.9,0.0,0.0,0.0,39.4,1.2,0.0,89.8,112.8
"CEVA, Inc. (NasdaqGS:CEVA)",2005,16.0,0.0,35.6,31.4,-2.3,1.0,70.5,115.7,9.2,12.7,0.0,-0.1,0.0,61.3,7.6,0.0,161.8,113.7
Aspiro AB,2005,16.0,0.0,51.8,32.4,2.3,5.5,23.0,71.6,14.5,7.8,0.0,0.0,0.0,8.5,1.6,0.0,44.0,113.9
Colabor Group Inc. (TSX:GCL),2005,16.0,0.0,369.1,369.1,10.7,15.2,38.3,113.4,37.6,35.0,1.0,0.0,14.6,0.7,1.0,0.4,,114.0
Globecomm Systems Inc.,2005,16.0,0.0,114.4,19.5,3.4,5.4,70.3,94.0,29.7,-4.4,0.0,0.0,0.0,40.6,2.4,0.0,98.1,114.1
"Genesis Energy, L.P. (NYSE:GEL)",2005,16.0,0.0,1078.7,21.1,3.4,11.5,90.4,181.8,92.6,9.5,0.0,0.0,0.0,-2.2,1.0,0.0,106.4,114.6
"Viasystems North America, Inc.",2005,16.0,0.0,184.6,28.0,-64.0,8.2,76.3,164.3,50.1,-3.5,0.0,-0.3,0.0,26.2,1.5,0.0,61.4,115.1
Bridgemarq Real Estate Services Inc. (TSX:BRE),2005,16.0,0.0,23.3,23.3,5.6,19.7,10.7,125.4,5.0,17.7,1.2,0.2,24.0,5.7,2.1,1.4,106.3,115.2
ePlus inc. (NasdaqGS:PLUS),2005,16.0,0.0,618.4,33.6,24.0,24.6,302.7,382.9,97.2,-10.0,5.0,0.0,123.7,205.5,3.1,-12.4,117.9,115.9
Gaming Partners International Corporation,2005,16.0,0.0,57.1,21.0,4.3,7.7,30.4,48.7,20.8,9.0,0.0,0.1,0.0,9.6,1.5,0.0,96.5,116.0
Andrew Peller Limited (TSX:ADW.A),2005,16.0,0.0,171.8,71.8,6.5,21.3,88.1,195.5,53.7,13.6,3.9,0.0,82.2,34.4,1.6,6.0,109.6,116.0
Schiff Nutrition International Inc.,2005,16.0,0.0,168.6,50.8,5.9,11.4,99.9,117.6,20.3,9.4,0.0,0.0,0.0,79.6,4.9,0.0,114.8,116.4
"Frisch's Restaurants, Inc.",2005,16.0,0.0,281.9,89.4,13.3,28.3,10.7,175.9,33.9,22.0,1.6,0.0,44.1,-23.2,0.3,2.0,133.3,116.4
"Vascular Solutions, Inc.",2005,16.0,0.0,32.8,23.4,-0.6,0.1,16.7,19.9,5.8,-1.7,0.0,0.0,0.0,10.9,2.9,0.0,133.3,116.5
"G-III Apparel Group, Ltd. (NasdaqGS:GIII)",2005,16.0,0.0,324.1,84.8,7.1,20.1,95.1,138.3,33.9,3.4,1.1,0.0,22.3,61.2,2.8,6.6,58.2,117.2
"Silverleaf Resorts, Inc.",2005,16.0,0.0,153.7,130.2,23.2,3.9,351.4,361.8,12.2,75.7,51.4,0.2,199.4,339.2,28.8,2.6,47.5,117.5
Theragenics Corporation,2005,16.0,0.0,44.3,20.5,-29.0,3.5,64.4,122.1,4.2,4.2,0.0,-0.7,0.0,60.2,15.4,0.0,119.6,117.6
"Nexstar Media Group, Inc. (NasdaqGS:NXST)",2005,16.0,0.0,228.9,161.3,-48.7,63.1,75.3,680.1,49.1,14.4,10.0,-0.2,631.0,26.2,1.5,43.8,245.1,117.7
"LMI Aerospace, Inc.",2005,16.0,0.0,101.1,24.7,5.2,14.3,44.3,72.0,15.3,5.3,1.2,0.1,17.3,29.0,2.9,3.2,37.8,117.8
COM DEV International Ltd.,2005,16.0,0.0,110.6,26.9,8.0,16.4,55.6,90.8,41.7,5.7,0.5,0.1,8.5,13.9,1.3,1.5,139.6,117.9
Rentrak Corporation,2005,16.0,0.0,88.4,27.1,3.7,6.4,45.5,49.6,16.7,8.9,0.0,0.0,0.0,28.8,2.7,0.0,106.8,118.1
"DXP Enterprises, Inc. (NasdaqGS:DXPE)",2005,16.0,0.0,185.4,49.7,5.5,10.4,56.2,72.9,28.1,-1.4,2.5,0.0,25.9,28.1,2.0,-18.2,19.7,118.4
FedNat Holding Company (NasdaqGM:FNHC),2005,16.0,0.0,94.7,31.8,12.1,17.6,163.7,290.2,83.6,19.4,0.9,0.1,16.6,80.1,2.0,0.9,83.7,118.4
XS Cargo Income Fund,2005,16.0,0.0,101.4,38.2,14.4,16.8,24.4,120.9,7.8,23.1,0.4,0.1,6.5,16.6,3.1,0.3,,118.8
BTU International Inc.,2005,16.0,0.0,66.4,23.8,4.6,6.1,46.4,48.9,11.0,-0.1,0.0,0.1,0.0,35.4,4.2,0.0,21.2,118.9
Endwave Corporation,2005,16.0,0.0,48.7,15.6,-0.9,1.3,46.9,53.1,9.7,-7.0,0.0,0.0,0.0,37.2,4.8,0.0,194.1,118.9
High Arctic Energy Services Inc (TSX:HWO),2005,16.0,0.0,71.0,31.7,0.5,23.5,30.5,100.2,30.0,-2.6,0.5,0.0,11.8,0.5,1.0,-4.6,,119.5
Artesian Resources Corporation (NasdaqGS:ARTN.A),2005,16.0,0.0,45.3,20.7,5.0,18.4,10.4,243.9,12.2,13.9,5.2,0.1,94.8,-1.8,0.9,6.8,113.3,120.0
Penn Traffic Co.,2005,4.0,1.0,1354.5,347.9,-6.3,32.3,169.0,325.4,101.3,6.2,1.2,0.0,38.8,67.7,1.7,6.3,,120.0
Synovis Life Technologies Inc.,2005,16.0,0.0,60.1,21.7,0.1,2.8,64.0,85.3,5.4,3.8,0.0,0.0,0.0,58.6,11.9,0.0,120.1,120.5
"Mestek, Inc. (OTCPK:MCCK)",2005,16.0,0.0,372.3,95.3,7.5,18.5,138.9,228.6,93.9,6.1,1.7,0.0,31.3,45.0,1.5,5.1,192.9,120.5
AirBoss-Defense Landover,2005,4.0,1.0,32.8,17.5,5.0,8.6,20.7,41.5,6.8,3.6,0.0,0.2,0.0,13.9,3.0,0.0,143.3,121.0
"Advanced Emissions Solutions, Inc. (NasdaqGM:ADES)",2005,16.0,0.0,11.0,4.3,0.7,0.8,19.8,28.7,2.8,1.2,0.0,0.1,0.0,17.0,7.0,0.0,129.4,121.6
Clarke Inc. (TSX:CKI),2005,16.0,0.0,170.7,21.3,15.9,14.7,142.9,201.3,26.2,19.5,0.0,0.1,0.0,116.7,5.5,0.0,83.3,121.8
Red Lion Hotels Corporation (NYSE:RLH),2005,16.0,0.0,163.1,25.6,4.5,22.0,72.8,344.1,32.8,11.9,6.4,0.0,141.0,40.0,2.2,11.9,79.5,122.1
Investors Title Company (NasdaqGS:ITIC),2005,16.0,0.0,87.9,49.4,13.3,19.7,32.3,128.5,9.3,17.4,0.0,0.2,0.0,23.0,3.5,0.0,90.8,122.1
"Universal Stainless & Alloy Products, Inc. (NasdaqGS:USAP)",2005,16.0,0.0,170.0,28.6,12.8,23.5,82.8,129.0,21.1,3.3,0.9,0.1,21.4,61.7,3.9,6.4,101.2,122.2
Vector Aerospace Corporation,2005,16.0,0.0,277.6,72.6,9.9,23.5,121.9,209.5,85.1,22.9,3.3,0.0,76.8,36.8,1.4,3.4,78.9,122.9
20-20 Technologies Inc.,2005,16.0,0.0,43.7,34.6,4.7,9.4,53.8,89.4,25.6,9.0,0.0,0.1,0.0,28.2,2.1,0.0,105.0,123.0
"Alteva, Inc.",2005,16.0,0.0,27.3,13.3,5.2,2.7,25.1,68.2,6.7,9.0,0.0,0.2,0.0,18.4,3.8,0.0,124.2,123.1
"Utah Medical Products, Inc. (NasdaqGS:UTMD)",2005,16.0,0.0,27.7,15.8,7.6,11.5,25.9,41.6,3.6,5.5,0.0,0.3,0.0,22.3,7.1,0.0,84.6,123.6
Axia NetMedia Corporation,2005,16.0,0.0,47.9,23.5,14.3,19.3,28.2,41.8,9.9,17.1,0.0,0.3,0.0,18.3,2.8,0.0,29.4,123.7
Glacier Media Inc. (TSX:GVC),2005,16.0,0.0,53.7,18.4,4.6,9.8,21.3,150.1,15.7,5.4,0.7,0.1,7.0,5.6,1.4,1.3,41.5,124.5
Premium Brands Holdings Corporation (TSX:PBH),2005,16.0,0.0,177.3,51.8,-3.2,16.6,33.5,133.6,18.5,8.7,1.2,0.0,20.1,15.0,1.8,2.3,79.4,125.4
Atrion Corporation (NasdaqGS:ATRI),2005,16.0,0.0,72.1,29.0,9.0,18.1,28.0,78.5,8.2,10.1,0.1,0.1,2.0,19.8,3.4,0.2,78.6,126.0
Continucare Corporation,2005,16.0,0.0,118.2,20.9,15.5,8.5,14.4,36.0,2.4,5.0,0.0,0.1,0.0,12.0,6.1,0.0,105.1,128.4
"Transcontinental Realty Investors, Inc. (NYSE:TCI)",2005,16.0,0.0,82.6,32.7,9.1,21.7,6.6,1089.1,0.0,14.5,30.0,0.1,651.0,6.6,,44.9,118.9,128.4
DATA Communications Management Corp. (TSX:DCM),2005,16.0,0.0,189.4,53.5,8.2,21.3,50.4,181.9,18.6,16.6,1.3,0.0,26.8,31.8,2.7,1.6,93.2,128.7
Dynamics Research Corporation,2005,16.0,0.0,300.4,50.2,11.4,28.6,95.6,187.8,80.8,24.6,0.9,0.0,25.5,14.8,1.2,1.0,143.8,128.7
"Richardson Electronics, Ltd. (NasdaqGS:RELL)",2005,16.0,0.0,603.0,144.3,-18.1,18.7,244.2,295.5,98.3,13.6,5.5,0.0,103.6,145.9,2.5,7.6,189.2,128.9
"CAS Medical Systems, Inc.",2005,16.0,0.0,26.9,11.8,1.8,3.3,11.5,17.9,4.0,1.2,1.0,0.1,3.3,7.5,2.8,2.9,23.1,129.3
"Gottschalks, Inc.",2005,4.0,1.0,672.1,237.7,5.2,32.0,188.2,335.0,91.2,19.6,3.0,0.0,96.6,97.0,2.1,4.9,105.8,130.0
Bakers Footwear Group Inc.,2005,7.0,1.0,194.8,65.3,6.6,16.4,35.4,74.8,27.6,17.5,0.0,0.0,0.0,7.8,1.3,0.0,52.2,130.8
Bakers Footwear Group Inc.,2005,7.0,1.0,194.8,65.3,6.6,16.4,35.4,74.8,27.6,17.5,0.0,0.0,0.0,7.8,1.3,0.0,52.2,130.8
"Exactech, Inc.",2005,16.0,0.0,91.0,59.1,6.6,16.8,53.9,114.6,15.1,-8.4,1.7,0.1,28.6,38.8,3.6,-3.4,195.9,130.8
"Collectors Universe, Inc. (NasdaqGM:CLCT)",2005,16.0,0.0,33.7,20.8,4.4,5.4,61.0,77.7,4.7,10.0,0.0,0.1,0.0,56.3,12.9,0.0,114.4,130.9
Bird Construction Inc. (TSX:BDT),2005,16.0,0.0,382.3,18.5,13.1,18.5,127.0,129.4,100.7,-3.5,0.0,0.0,0.0,26.3,1.3,0.0,70.1,131.6
QuickLogic Corporation (NasdaqCM:QUIK),2005,16.0,0.0,48.3,30.1,2.4,6.3,44.2,55.0,10.2,5.7,0.0,0.0,0.0,34.0,4.3,0.0,79.5,132.1
Stella-Jones Inc. (TSX:SJ),2005,16.0,0.0,134.8,27.5,9.9,19.2,86.3,118.3,38.7,1.8,2.1,0.1,39.9,47.6,2.2,22.1,48.4,132.2
"PreVu, Inc. (OTCPK:PRVU)",2005,3.0,1.0,398.0,139.2,12.2,26.4,137.2,179.9,34.4,11.0,0.0,0.0,0.0,102.8,4.0,0.0,120.5,132.8
"The Shyft Group, Inc. (NasdaqGS:SHYF)",2005,16.0,0.0,343.0,48.8,8.3,15.3,99.7,123.2,49.0,4.8,0.0,0.0,0.0,50.7,2.0,0.0,138.5,133.0
Jones Soda Co. (OTCPK:JSDA),2005,16.0,0.0,33.5,11.6,1.3,1.5,9.7,10.5,4.0,0.8,0.0,0.0,0.0,5.7,2.4,0.0,97.1,133.4
New England Realty Associates Limited Partnership (AMEX:NEN),2005,16.0,0.0,32.3,21.8,9.5,10.8,15.9,135.1,1.4,8.1,9.6,0.3,103.1,14.5,11.0,12.8,161.1,133.4
Winmark Corporation (NasdaqGM:WINA),2005,16.0,0.0,26.6,21.1,2.1,4.8,8.5,26.5,3.7,5.1,0.0,0.1,0.0,4.8,2.3,0.0,149.1,133.6
Pope & Talbot Inc. (OTCPK:PTBT.Q),2005,2.0,1.0,848.8,7.1,-50.0,6.1,218.0,630.7,169.2,-14.4,53.6,-0.1,327.0,48.8,1.3,-22.7,245.7,133.7
Carmanah Technologies Corporation,2005,16.0,0.0,33.2,12.4,0.6,1.6,27.7,42.1,5.2,-3.2,0.0,0.0,0.0,22.6,5.4,0.0,69.5,134.5
"TSIC, Inc.",2005,3.0,1.0,669.0,247.0,-16.1,5.8,208.1,326.4,112.6,3.4,0.0,0.0,0.0,95.5,1.8,0.0,270.2,134.8
"U.S. Global Investors, Inc. (NasdaqCM:GROW)",2005,16.0,0.0,24.2,17.2,3.1,4.8,12.6,15.1,3.0,1.7,0.0,0.1,0.0,9.6,4.2,0.0,30.6,134.9
"BBQ Holdings, Inc. (NasdaqGS:BBQ)",2005,16.0,0.0,102.4,26.6,4.4,13.0,15.5,67.6,9.9,10.3,0.9,0.0,11.9,5.6,1.6,1.2,134.9,135.3
"PowerSecure International, Inc.",2005,16.0,0.0,43.5,12.3,2.3,2.4,18.2,33.3,12.9,2.7,1.1,0.1,2.7,5.3,1.4,1.0,27.4,135.9
"Smith & Wesson Brands, Inc. (NasdaqGS:SWBI)",2005,16.0,0.0,144.2,42.8,6.3,14.8,48.9,84.1,28.2,11.6,1.2,0.0,18.1,20.7,1.7,1.6,57.9,136.2
"Cyxtera Data Centers, Inc.",2005,16.0,0.0,667.0,231.5,-69.1,77.3,128.9,409.6,125.7,62.9,3.6,-0.1,274.4,3.2,1.0,4.4,116.8,136.2
KapStone Paper and Packaging Corporation,2005,16.0,0.0,222.0,60.8,4.9,30.8,114.3,114.3,0.2,25.0,0.0,0.0,0.0,114.1,503.5,0.0,,136.5
GP Strategies Corporation (NYSE:GPX),2005,16.0,0.0,175.6,25.0,7.2,14.0,62.6,134.6,27.8,19.3,0.0,0.0,0.0,34.8,2.3,0.0,140.2,136.7
The Descartes Systems Group Inc (TSX:DSG),2005,16.0,0.0,45.7,27.6,3.0,6.5,39.3,46.8,8.4,8.5,0.0,0.1,0.0,31.0,4.7,0.0,73.2,137.1
Unitil Corporation (NYSE:UTL),2005,16.0,0.0,232.1,48.3,8.6,38.9,41.4,450.1,46.0,24.1,3.6,0.0,141.6,-4.6,0.9,5.9,150.4,137.4
BK Technologies Corporation (AMEX:BKTI),2005,16.0,0.0,28.5,14.7,10.3,6.1,22.1,31.1,3.3,3.3,0.0,0.4,0.0,18.8,6.7,0.0,32.8,137.7
TGC Industries Inc.,2005,16.0,0.0,30.9,12.7,6.2,10.6,18.4,41.2,8.4,5.7,0.1,0.2,0.9,10.0,2.2,0.2,16.4,137.8
"TRX, Inc.",2005,16.0,0.0,118.6,41.3,-6.7,10.8,36.6,76.1,38.4,8.5,0.0,-0.1,0.0,-1.8,1.0,0.0,,137.9
Gladstone Commercial Corporation (NasdaqGS:GOOD),2005,16.0,0.0,12.9,10.4,3.6,9.4,8.0,207.0,0.7,7.4,11.0,0.3,103.7,7.4,12.2,14.0,128.0,138.1
AZZ Inc. (NYSE:AZZ),2005,16.0,0.0,174.8,33.8,6.7,17.3,57.2,134.4,30.7,6.9,1.3,0.0,21.8,26.5,1.9,3.1,88.5,138.4
Penford Corporation,2005,16.0,0.0,302.6,40.4,6.6,22.8,89.0,250.9,49.0,20.1,3.0,0.0,69.1,40.0,1.8,3.4,128.3,138.6
Pinnacle Airlines Corp.,2005,7.0,1.0,841.6,149.2,25.7,91.4,126.4,228.8,80.0,27.3,0.7,0.0,62.2,46.4,1.6,2.3,263.8,138.9
Pinnacle Airlines Corp.,2005,7.0,1.0,841.6,149.2,25.7,91.4,126.4,228.8,80.0,27.3,0.7,0.0,62.2,46.4,1.6,2.3,263.8,138.9
"John B. Sanfilippo & Son, Inc. (NasdaqGS:JBSS)",2005,16.0,0.0,593.8,65.9,4.3,22.7,265.1,421.1,202.5,2.7,5.1,0.0,114.6,62.6,1.3,42.9,272.9,138.9
Royal Host Inc.,2005,16.0,0.0,120.1,34.1,2.0,31.9,78.6,361.2,40.5,-5.0,6.7,0.0,212.5,38.1,1.9,-42.5,104.2,139.6
Finishmaster Inc.,2005,16.0,0.0,423.8,127.2,15.6,39.6,107.5,231.8,52.2,20.5,1.3,0.0,50.7,55.3,2.1,2.5,104.8,140.2
"Escalade, Incorporated (NasdaqGM:ESCA)",2005,16.0,0.0,183.3,55.6,12.9,22.8,70.8,124.9,28.4,24.6,0.7,0.1,16.5,42.4,2.5,0.7,177.0,140.4
"Synergetics USA, Inc.",2005,16.0,0.0,28.5,17.8,2.0,3.9,17.7,47.1,6.2,-0.7,2.5,0.1,9.8,11.5,2.8,-13.5,,140.6
"Hawkins, Inc. (NasdaqGS:HWKN)",2005,16.0,0.0,136.8,31.7,8.6,16.2,46.7,91.6,14.0,7.0,0.0,0.1,0.0,32.7,3.3,0.0,120.6,141.6
CyberOptics Corporation (NasdaqGM:CYBE),2005,16.0,0.0,42.2,23.1,7.2,5.1,55.4,73.0,6.8,1.6,0.0,0.2,0.0,48.6,8.1,0.0,119.0,141.7
Maxion Wheels Inc.,2005,4.0,1.0,1726.2,141.7,-457.5,132.0,653.1,1799.2,428.1,-5.6,5.1,-0.3,667.9,225.0,1.5,-119.3,303.3,141.7
Neo Material Technologies Inc.,2005,16.0,0.0,98.5,56.7,-5.6,33.6,51.3,156.9,48.3,22.9,2.5,-0.1,85.0,3.0,1.1,3.7,,141.7
"Pope Resources, A Delaware Limited Partnership",2005,16.0,0.0,57.0,32.4,13.7,28.7,24.1,106.4,7.5,28.9,0.5,0.2,15.5,16.7,3.2,0.5,125.5,142.5
"Education Holdings 1, Inc.",2005,8.0,1.0,125.7,79.4,-2.9,3.7,39.2,105.4,39.4,7.4,0.0,0.0,0.0,-0.2,1.0,0.0,157.4,142.5
"Education Holdings 1, Inc.",2005,8.0,1.0,125.7,79.4,-2.9,3.7,39.2,105.4,39.4,7.4,0.0,0.0,0.0,-0.2,1.0,0.0,157.4,142.5
"PC Connection, Inc. (NasdaqGS:CNXN)",2005,16.0,0.0,1444.3,163.6,4.5,18.8,257.4,337.7,156.5,9.6,0.9,0.0,16.7,100.9,1.6,1.7,202.9,144.2
"INDUS Realty Trust, Inc. (NasdaqGM:INDT)",2005,16.0,0.0,41.9,6.0,-1.4,0.7,42.1,188.7,8.2,-12.8,59.1,0.0,43.0,34.0,5.2,-3.4,122.8,145.0
Franklin Covey Co. (NYSE:FC),2005,16.0,0.0,286.8,171.7,11.9,22.7,93.1,219.3,49.7,21.5,0.1,0.0,1.7,43.4,1.9,0.1,50.0,145.4
"Lydall, Inc. (NYSE:LDL)",2005,16.0,0.0,306.5,63.9,5.1,22.9,98.3,248.2,40.6,18.2,1.4,0.0,31.4,57.7,2.4,1.7,170.1,145.5
"Harvard Bioscience, Inc. (NasdaqGM:HBIO)",2005,16.0,0.0,67.4,33.3,-31.9,13.0,55.0,91.6,13.0,5.2,0.1,-0.5,0.9,42.0,4.2,0.2,127.2,145.6
Met-Pro Technologies LLC,2005,16.0,0.0,87.7,28.5,7.3,11.1,53.4,89.1,14.4,4.4,0.0,0.1,0.0,39.0,3.7,0.0,107.8,146.1
OneREIT,2005,16.0,0.0,36.2,19.1,-9.6,15.6,60.8,349.4,9.0,2.4,12.9,-0.3,201.2,51.8,6.7,85.3,98.7,147.0
"Hanger, Inc. (NYSE:HNGR)",2005,16.0,0.0,578.2,294.7,17.8,75.2,201.5,704.5,65.9,25.7,4.9,0.0,370.7,135.6,3.1,14.4,155.4,147.7
"Stoneridge, Inc. (NYSE:SRI)",2005,16.0,0.0,671.6,148.6,0.9,55.5,218.7,463.0,102.0,19.1,2.9,0.0,159.3,116.7,2.1,8.3,338.0,148.1
Exco Technologies Limited (TSX:XTC),2005,16.0,0.0,186.5,50.2,8.9,25.0,76.8,188.2,47.1,12.0,0.6,0.0,16.0,29.7,1.6,1.3,218.5,149.1
"Access to Money, Inc.",2005,16.0,0.0,49.2,27.0,-8.9,17.1,104.7,341.8,193.9,13.5,9.2,-0.2,157.0,-89.2,0.5,11.6,313.5,149.2
Cogdell Spencer Inc.,2005,16.0,0.0,46.1,30.5,-1.8,17.4,16.8,308.5,4.7,11.9,8.6,0.0,149.5,12.1,3.6,12.6,,149.2
